,SUV,pickup truck,sedan,hatchback,convertible,coupe,roadster,van,firetruck,garbagetruck,mailtruck,trailertruck
10_EAST_JACKSON_BOULEVARD,0,0,1,0,0,0,0,0,0,0,0,0
11_WEST_QUINCY_STREET,0,0,0,1,0,0,0,0,0,0,0,0
14_WEST_JACKSON_BOULEVARD,1,0,1,0,0,0,0,0,0,0,0,0
16_WEST_JACKSON_BOULEVARD,1,0,0,0,0,1,0,0,0,0,0,0
18_WEST_JACKSON_BOULEVARD,1,0,0,0,0,1,0,0,0,0,0,0
19_WEST_JACKSON_BOULEVARD,1,0,0,0,0,1,0,0,0,0,0,0
19_WEST_QUINCY_STREET,0,0,0,1,0,0,0,0,0,0,0,0
1_EAST_JACKSON_BOULEVARD,4,0,0,0,0,0,0,0,0,0,0,0
200_SOUTH_CLARK_STREET,0,0,1,0,0,0,0,0,0,0,0,0
201_SOUTH_MICHIGAN_AVENUE,0,0,2,0,0,0,0,0,0,0,0,0
201_SOUTH_WABASH_AVENUE,0,0,1,1,0,0,0,0,0,0,0,0
202_SOUTH_STATE_STREET,1,0,0,0,0,0,0,0,0,0,0,0
204_SOUTH_CLARK_STREET,2,0,0,0,0,0,0,0,0,0,0,0
208_SOUTH_LA_SALLE_STREET,0,0,0,0,0,1,0,0,0,1,0,0
210_SOUTH_CLARK_STREET,0,0,1,0,0,0,0,0,0,0,0,0
211_SOUTH_CLARK_STREET,2,0,0,0,0,0,0,0,0,0,0,0
212_SOUTH_CLARK_STREET,0,0,1,0,0,0,0,0,0,0,0,0
212_SOUTH_STATE_STREET,0,0,2,0,0,0,0,0,0,0,0,0
213_SOUTH_STATE_STREET,2,0,1,0,0,0,0,0,0,0,0,0
214_SOUTH_WABASH_AVENUE,1,0,0,0,0,0,1,0,0,0,0,0
216_SOUTH_WABASH_AVENUE,1,0,0,0,0,0,1,0,0,0,0,0
218_SOUTH_CLARK_STREET,0,0,1,0,0,0,0,0,0,0,0,0
218_SOUTH_WABASH_AVENUE,1,0,0,1,0,0,0,0,0,0,0,0
21_EAST_ADAMS_STREET,1,0,0,0,0,0,0,0,0,0,0,1
220_SOUTH_CLARK_STREET,1,0,0,0,0,0,0,0,0,0,0,0
220_SOUTH_WABASH_AVENUE,1,2,0,0,0,1,0,1,0,0,0,0
226_SOUTH_MICHIGAN_AVENUE,2,0,0,0,0,0,0,0,0,0,0,0
227_SOUTH_STATE_STREET,2,0,0,0,0,0,0,0,0,0,0,0
231_SOUTH_STATE_STREET,0,0,1,0,0,0,0,0,0,0,0,0
27_EAST_ADAMS_STREET,1,1,1,0,0,0,0,0,0,0,0,0
29_EAST_ADAMS_STREET,3,0,0,0,0,0,0,0,0,0,0,0
29_WEST_JACKSON_BOULEVARD,1,0,1,0,0,0,0,1,0,0,0,0
300_SOUTH_STATE_STREET,2,0,0,0,0,0,0,0,0,0,0,0
300_SOUTH_WABASH_AVENUE,0,0,0,1,0,0,1,0,0,0,0,0
306_SOUTH_PLYMOUTH_COURT,0,0,2,0,0,0,0,1,0,0,1,0
308_SOUTH_PLYMOUTH_COURT,0,0,2,0,0,0,0,1,0,0,1,0
310_SOUTH_PLYMOUTH_COURT,0,0,2,0,0,0,0,1,0,0,1,0
312_SOUTH_PLYMOUTH_COURT,0,0,1,1,0,0,0,1,0,0,1,0
312_SOUTH_STATE_STREET,2,0,0,0,0,0,0,0,0,0,0,0
314_SOUTH_FEDERAL_STREET,1,0,0,0,0,0,0,0,0,0,0,0
314_SOUTH_PLYMOUTH_COURT,0,0,1,1,0,0,0,1,0,0,1,0
315_SOUTH_PLYMOUTH_COURT,0,0,1,1,0,0,0,1,0,0,1,0
316_SOUTH_PLYMOUTH_COURT,0,0,1,1,0,0,0,1,0,0,1,0
318_SOUTH_PLYMOUTH_COURT,0,0,1,1,0,0,0,1,0,0,1,0
31_EAST_ADAMS_STREET,2,0,0,0,0,0,0,0,0,0,0,0
31_WEST_JACKSON_BOULEVARD,1,0,1,0,0,0,0,1,0,0,0,0
320_SOUTH_PLYMOUTH_COURT,2,0,0,0,0,1,0,0,0,0,0,0
321_SOUTH_PLYMOUTH_COURT,1,1,0,0,1,0,0,0,0,0,0,0
324_SOUTH_MICHIGAN_AVENUE,0,0,0,1,0,0,0,1,1,0,0,0
324_SOUTH_PLYMOUTH_COURT,2,0,0,0,0,1,0,0,0,0,0,0
325_SOUTH_MICHIGAN_AVENUE,0,2,2,0,0,0,0,0,0,0,0,0
325_SOUTH_WABASH_AVENUE,0,0,0,0,0,0,0,2,0,0,0,0
326_SOUTH_PLYMOUTH_COURT,1,1,0,0,1,0,0,0,0,0,0,0
327_SOUTH_WABASH_AVENUE,0,0,0,0,0,0,0,2,0,0,0,0
328_SOUTH_MICHIGAN_AVENUE,0,0,0,1,0,0,0,1,1,0,0,0
328_SOUTH_PLYMOUTH_COURT,1,1,0,0,1,0,0,0,0,0,0,0
329_SOUTH_WABASH_AVENUE,0,0,0,0,0,0,0,2,0,0,0,0
330_SOUTH_MICHIGAN_AVENUE,0,0,0,1,0,0,0,1,1,0,0,0
330_SOUTH_PLYMOUTH_COURT,1,1,0,0,1,0,0,0,0,0,0,0
331_SOUTH_PLYMOUTH_COURT,2,0,1,0,0,0,0,0,0,0,0,0
331_SOUTH_WABASH_AVENUE,0,0,0,0,0,0,0,2,0,0,0,0
332_SOUTH_FEDERAL_STREET,1,0,0,0,0,0,0,2,0,0,0,0
332_SOUTH_MICHIGAN_AVENUE,0,2,2,0,0,0,0,0,0,0,0,0
332_SOUTH_PLYMOUTH_COURT,1,0,2,0,0,0,0,1,0,0,0,0
333_SOUTH_WABASH_AVENUE,1,0,2,0,0,0,0,0,0,0,0,0
33_EAST_ADAMS_STREET,1,0,0,0,0,0,0,0,0,0,0,0
35_EAST_ADAMS_STREET,0,1,1,0,0,0,0,1,0,0,0,0
53_WEST_JACKSON_BOULEVARD,2,0,0,0,0,0,0,1,0,0,0,0
65_WEST_JACKSON_BOULEVARD,2,1,1,0,0,0,0,0,0,0,0,0
67_WEST_JACKSON_BOULEVARD,2,1,1,0,0,0,0,0,0,0,0,0
1000_WEST_63RD_STREET,1,1,1,0,0,0,0,1,0,0,0,0
1003_WEST_58TH_STREET,0,0,0,0,0,0,1,0,0,0,0,0
1003_WEST_71ST_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1005_WEST_58TH_STREET,0,0,0,0,0,0,1,0,0,0,0,0
1006_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1006_WEST_70TH_STREET,1,0,0,0,0,0,0,0,0,0,0,0
1007_WEST_58TH_STREET,0,0,0,0,0,0,1,0,0,0,0,0
1007_WEST_63RD_STREET,0,0,0,0,0,0,0,1,0,0,0,0
1007_WEST_68TH_STREET,0,0,0,0,0,2,0,0,0,0,0,0
1008_WEST_63RD_STREET,0,0,0,0,0,0,0,1,0,0,0,0
1009_WEST_58TH_STREET,0,0,0,0,0,0,1,0,0,0,0,0
100_WEST_72ND_STREET,1,0,0,0,0,0,0,0,0,0,0,0
100_WEST_73RD_STREET,3,0,0,0,0,0,0,1,0,0,0,0
1010_WEST_57TH_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1010_WEST_69TH_STREET,1,1,0,1,0,0,0,0,0,0,0,0
1011_WEST_58TH_STREET,0,0,0,0,0,0,1,0,0,0,0,0
1011_WEST_68TH_STREET,0,1,0,0,0,0,0,1,0,0,0,0
1012_WEST_63RD_STREET,1,1,0,0,0,0,0,0,0,0,0,0
1013_WEST_63RD_STREET,1,1,0,0,0,0,0,0,0,0,0,0
1014_WEST_57TH_STREET,1,0,1,0,0,0,0,2,0,0,1,0
1014_WEST_72ND_STREET,1,0,0,0,0,0,0,0,0,0,0,0
1015_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1015_WEST_69TH_STREET,0,1,0,0,0,0,0,1,0,0,0,0
1016_WEST_63RD_STREET,2,0,0,0,0,0,0,1,0,0,0,0
1016_WEST_64TH_STREET,1,0,0,0,0,0,0,0,0,0,0,0
1016_WEST_70TH_STREET,0,0,1,0,0,0,1,0,0,0,0,0
1016_WEST_72ND_STREET,2,1,0,0,0,0,0,0,0,1,0,0
1017_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1018_WEST_63RD_STREET,2,0,0,0,0,0,0,1,0,0,0,0
1019_WEST_63RD_STREET,2,0,0,0,0,0,0,1,0,0,0,0
101_WEST_74TH_STREET,2,2,0,1,0,0,0,0,0,0,0,0
1020_WEST_61ST_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1020_WEST_64TH_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1020_WEST_70TH_STREET,0,0,0,0,0,0,0,1,0,0,0,0
1022_WEST_63RD_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1022_WEST_64TH_STREET,0,0,1,0,0,0,0,0,0,0,0,0
102_WEST_73RD_STREET,3,0,0,0,0,0,0,1,0,0,0,0
102_WEST_74TH_STREET,1,0,2,0,0,1,0,0,0,0,0,0
1034_WEST_61ST_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1034_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1035_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1036_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1037_WEST_63RD_STREET,1,0,1,0,0,0,0,0,0,0,0,0
1038_WEST_61ST_STREET,1,0,1,0,0,0,0,0,0,0,0,0
103_WEST_73RD_STREET,1,0,2,1,0,0,0,0,0,0,0,0
1040_WEST_61ST_STREET,0,0,0,0,0,0,0,1,0,0,0,0
1041_WEST_59TH_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1041_WEST_61ST_STREET,0,0,0,0,0,0,0,1,0,0,0,0
1044_WEST_69TH_STREET,2,1,0,0,0,0,0,0,0,0,0,0
1044_WEST_70TH_STREET,0,1,0,0,0,0,0,1,0,0,0,0
1046_WEST_61ST_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1049_WEST_64TH_STREET,0,0,1,0,0,0,0,0,0,0,0,0
1049_WEST_72ND_STREET,0,0,0,0,0,0,0,1,0,0,0,0
1050_WEST_MARQUETTE_ROAD,1,0,0,0,0,0,0,0,0,0,0,0
1051_WEST_70TH_STREET,0,0,1,0,0,0,1,0,0,0,0,0
1051_WEST_72ND_STREET,1,0,0,0,0,1,0,0,0,0,0,0
1052_WEST_MARQUETTE_ROAD,1,0,0,0,0,0,0,0,0,0,0,0
